ambiguity_type,resolution,resolution_note,player_id,db_name,db_matches,db_intl_matches,db_club_matches,db_last_match,db_team_type,db_teams,db_reg_name_count,sheet_player_id,sheet_batting_name,sheet_country,sheet_major_teams,sheet_dob,sheet_intl_innings,sheet_club_t20_innings,sheet_playercard_url
A_db_name_collision,,,945981e5,D Johnson,21,21,0,2026-06-21 00:00:00,international,Switzerland,2.0,1310711,D Johnson,Cayman Islands,Cayman Islands|Florida Lions,1991-02-15T00:00Z,28,28,https://www.espncricinfo.com/ci/content/player/1310711.html
A_db_name_collision,,,945981e5,D Johnson,21,21,0,2026-06-21 00:00:00,international,Switzerland,2.0,1476267,D Johnson,Falkland Islands,Falkland Islands,1984-04-21T00:00Z,6,6,https://www.espncricinfo.com/ci/content/player/1476267.html
A_db_name_collision,,,945981e5,D Johnson,21,21,0,2026-06-21 00:00:00,international,Switzerland,2.0,1487992,D Johnson,Switzerland,Switzerland,1997-01-09T00:00Z,23,23,https://www.espncricinfo.com/ci/content/player/1487992.html
A_db_name_collision,,,db86ac96,C Wijesinghe,20,20,0,2026-06-20 00:00:00,international,Cyprus,2.0,1162378,C Wijesinghe,Sri Lanka,Colombo Cricket Club|Dambulla|Dambulla|Galle Marvels|Kandy Falcons|Kandy Falcons|Sri Lanka A|Sri Lanka Emerging Players|Sri Lanka Under-19s,2000-09-03T00:00Z,0,45,https://www.espncricinfo.com/ci/content/player/1162378.html
A_db_name_collision,,,5b2acc3f,Shahid Afridi,19,19,0,2026-06-20 00:00:00,international,Germany,2.0,42639,Shahid Afridi,Pakistan,Pakistan|Asia Lions|Asia XI|Brampton Wolves|Deccan Chargers|Dhaka Gladiators|Dhaka Dominators|Edmonton Royals|Fly Emirates XI|Galle Gladiators|Northern Cape|Habib Bank Limited|Hampshire|World-XI|Jamaica Tallawahs|Karachi|Karachi Kings|Karachi Region Blues|Kowloon Cantons|Leicestershire|Melbourne Renegades|Multan Sultans|New York Warriors|Northamptonshire|Peshawar Zalmi|Quetta Gladiators|Rangpur Riders|Ruhuna Royals|South Australia|St Kitts and Nevis Patriots|Toronto Nationals,1980-03-01T00:00Z,966,651,https://www.espncricinfo.com/ci/content/player/42639.html
A_db_name_collision,,,5b2acc3f,Shahid Afridi,19,19,0,2026-06-20 00:00:00,international,Germany,2.0,1380679,Shahid Afridi,Germany,Germany,2000-01-05T00:00Z,24,24,https://www.espncricinfo.com/ci/content/player/1380679.html
A_db_name_collision,,,e6681f88,S Arachchige,4,4,0,2026-06-20 00:00:00,international,Cyprus,2.0,1185332,S Arachchige,Italy,Italy,1992-06-29T00:00Z,8,8,https://www.espncricinfo.com/ci/content/player/1185332.html
A_db_name_collision,,,1eaac48d,Rashid Khan,2,2,0,2026-06-20 00:00:00,international,Belgium,4.0,42421,Rashid Khan,Pakistan,Pakistan|Karachi|Pakistan International Airlines|Public Works Department|Sindh,1959-12-15T00:00Z,56,0,https://www.espncricinfo.com/ci/content/player/42421.html
A_db_name_collision,,,1eaac48d,Rashid Khan,2,2,0,2026-06-20 00:00:00,international,Belgium,4.0,793463,Rashid Khan,Afghanistan,Afghanistan|ACB Development Squad|Adelaide Strikers|Afghanistan Under-19s|Afghanistan XI|Band-e-Amir Dragons|Band-e-Amir Region|Bangla Tigers|Barbados Royals|Boost Defenders|Boost Defenders|Comilla Victorians|Durban Heat|Gujarat Titans|Guyana Amazon Warriors|World-XI|Kabul|Kabul Eagles|Lahore Qalandars|Maratha Arabians|MI Cape Town|MI Emirates|MI New York|Mis Ainak Region|Nangarhar Leopards|MI London (Men)|Quetta Gladiators|Speen Ghar Region|St Kitts and Nevis Patriots|Sunrisers Hyderabad|Sussex|Sussex 2nd XI|Trent Rockets (Men),1998-09-20T00:00Z,454,1045,https://www.espncricinfo.com/ci/content/player/793463.html
A_db_name_collision,,,1eaac48d,Rashid Khan,2,2,0,2026-06-20 00:00:00,international,Belgium,4.0,1161020,Rashid Khan,Nepal,Nepal|Central Development Region|Dhangadhi Stars|Kathmandu Goldens|Lalitpur Patriots|Nepal Under-19s|Pokhara Paltan|Province Number 2,2001-02-21T00:00Z,4,10,https://www.espncricinfo.com/ci/content/player/1161020.html
